path,true_label,pred_label
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS113m1-_part_2.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS115m1-_part_3.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS27m1-_part_1.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS37m1-_part_4.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS38m1-_part_3.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\12LS87m1-_part_4.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13TC47m1+_part_1.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13TC52m1+_part_3.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13TC56m1+_part_2.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13TC79m1+_part_1.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13WL49m1+_part_1.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\13WL54m1+_part_2.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\15QM02 -2.5_part_4.png,Mudstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\15QM10 -5_part_3.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\15QM103 -2.5_part_3.png,Mudstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\泥晶灰岩\15QM11 -2.5_part_1.png,Mudstone,Packstone
